,Nama_Produk,Akun,Ulasan,rate
394,[ SHUMU ] Masker KN95 6ply Medis kemenkes AKD KN 95 isi 10 pcs 6 PLY - KNGB 10 WHITE,Nahema,semua warnanya ku suka,5
395,[ SHUMU ] Masker KN95 6ply Medis kemenkes AKD KN 95 isi 10 pcs 6 PLY - KNGB 10 WHITE,Biogreenstoreku,"pesen yg pro, dikirim yg biasa",1
396,[ SHUMU ] Masker KN95 6ply Medis kemenkes AKD KN 95 isi 10 pcs 6 PLY - KNGB 10 WHITE,C***a,Merek yg tertera di halaman produk tdk sesuai dan tdk ada ijin dari kemenkes seperti tertulis di halaman produk,2
397,Masker Oncare Premium KN95 Pro Plus Premium Korea 5Ply isi 10Pcs - ONCR PLUS Black,Andreas,"kualitas barang bagus, seller responsif",5
398,Masker Oncare Premium KN95 Pro Plus Premium Korea 5Ply isi 10Pcs - ONCR PLUS Black,F***y,"packing ok , pengiriman cepat, produk baik",5
399,Masker Oncare Premium KN95 Pro Plus Premium Korea 5Ply isi 10Pcs - ONCR PLUS Black,Imelda,Warnanya kerennnn... 😍,5
400,Masker Oncare Premium KN95 Pro Plus Premium Korea 5Ply isi 10Pcs - ONCR PLUS Black,Howerd,"kualitas brg bagus, pengiriman jg cepat",5
401,Masker Oncare Premium KN95 Pro Plus Premium Korea 5Ply isi 10Pcs - ONCR PLUS Black,Edy,Barangnya sudah sampai Pengirimannya cepat Packing ok lah Thx u,5
402,Masker Oncare Premium KN95 Pro Plus Premium Korea 5Ply isi 10Pcs - ONCR PLUS Black,A***a,Maskernya ternyata ga fit jadi sering terlepas,3
403,Masker Oncare Premium KN95 Pro Plus Premium Korea 5Ply isi 10Pcs - ONCR PLUS Black,dasep,Warna nya di kirim hitam semua 😌😌,4
404,Masker Oncare Premium KN95 Pro Plus Premium Korea 5Ply isi 10Pcs - ONCR PLUS Black,F***y,"pengiriman cepar, packing oklah, produk baik",5
405,Masker Oncare Premium KN95 Pro Plus Premium Korea 5Ply isi 10Pcs - ONCR PLUS Black,Brenda,"Ini payment dr hari sabtu selasa baru bilang stocknya abis, gimana sih??",1
406,Masker Oncare Premium KN95 Pro Plus Premium Korea 5Ply isi 10Pcs - ONCR PLUS Black,Pieter,Sesuai pesanan,5
407,Paket 2 Box M+ Surgical Mask Earloop 4 Ply - Masker Medis Isi 50 Pcs,Y***i,Sudah langganan nih. Tebel maskernya.,5
408,Paket 2 Box M+ Surgical Mask Earloop 4 Ply - Masker Medis Isi 50 Pcs,Y***s,Packing makin rapih dibanding beli pertama kali! Masker favorit aku.,5
409,Paket 2 Box M+ Surgical Mask Earloop 4 Ply - Masker Medis Isi 50 Pcs,Najmi,bagus,5
410,Paket 2 Box M+ Surgical Mask Earloop 4 Ply - Masker Medis Isi 50 Pcs,Metarina,"harusnya dikasi kardus lagi jadi kotak masker nya ga rusak, kayak gini kan ga enak diliat",3
411,Paket 2 Box M+ Surgical Mask Earloop 4 Ply - Masker Medis Isi 50 Pcs,N***g,sudah berkali kali beli masker ini...paling nyaman,5
412,Paket 2 Box M+ Surgical Mask Earloop 4 Ply - Masker Medis Isi 50 Pcs,K***a,Ini pembelian yg kesekian kali. Pelayanan cukup memuaskan. Thx,5
413,Paket 2 Box M+ Surgical Mask Earloop 4 Ply - Masker Medis Isi 50 Pcs,Sri,Kurang soft,5
414,Paket 2 Box M+ Surgical Mask Earloop 4 Ply - Masker Medis Isi 50 Pcs,Herni,"Barang bagus, nyaman dipakai. Packing sangat rapi dan aman, dikasi hadiah, Tks ya seller, makin laris dan bertambah rejeki. Sukses selalu",5
415,Paket 2 Box M+ Surgical Mask Earloop 4 Ply - Masker Medis Isi 50 Pcs,BinLaden,mantap.,5
416,Paket 2 Box M+ Surgical Mask Earloop 4 Ply - Masker Medis Isi 50 Pcs,Marcho,"gak tau perasaan sy aja atau memang masker kali ini rasanya agak sedikit tipis, gak seperti sebelum2nya agak tebal.",3
417,Masker Surgical Medis 5 PLY Masker Seven 5PLY Kemenkes AKD isi 50 pcs - 7 5ply Green,henrayani,langanan,5
418,Masker Surgical Medis 5 PLY Masker Seven 5PLY Kemenkes AKD isi 50 pcs - 7 5ply Green,S***i,"Packing, handling dan pengiriman selalu ok. Produk berkualitas sesuai deskripsi, makanya selalu order di sini. highly recommended seller.tq.",5
419,Masker Surgical Medis 5 PLY Masker Seven 5PLY Kemenkes AKD isi 50 pcs - 7 5ply Green,Roosmin,"bagus, sesuai pesanan",5
420,Masker Surgical Medis 5 PLY Masker Seven 5PLY Kemenkes AKD isi 50 pcs - 7 5ply Green,T***o,"Produk bagus, paking aman, pengiriman super cepat.",5
421,Masker Surgical Medis 5 PLY Masker Seven 5PLY Kemenkes AKD isi 50 pcs - 7 5ply Green,D***i,masker bagus dan sudah beberapa kali beli di toko ini.,5
422,Masker Surgical Medis 5 PLY Masker Seven 5PLY Kemenkes AKD isi 50 pcs - 7 5ply Green,Lisa,Recommended...👍,5
423,Masker Surgical Medis 5 PLY Masker Seven 5PLY Kemenkes AKD isi 50 pcs - 7 5ply Green,S***a,Terima kasih👍👍,5
424,Masker Surgical Medis 5 PLY Masker Seven 5PLY Kemenkes AKD isi 50 pcs - 7 5ply Green,S***o,Maskernya bau..,1
425,Masker Surgical Medis 5 PLY Masker Seven 5PLY Kemenkes AKD isi 50 pcs - 7 5ply Green,M***c,"proses packing cepat, masker tidak berbau, lembut",5
426,Masker Surgical Medis 5 PLY Masker Seven 5PLY Kemenkes AKD isi 50 pcs - 7 5ply Green,F***o,barang sesuai deskripsi,5
427,Kosmemask - 1 Box Isi 20 Masker Kosme KM95 Breathable Mask Nano Silver,megawati,"tdk seperti tampilan fotonya warnanya tdk di sebut,maksud hati mau putih knp yg dtg hitam 🤭🤭🤭",5
428,Kosmemask - 1 Box Isi 20 Masker Kosme KM95 Breathable Mask Nano Silver,Andi,Bagus Maskernya,5
429,Kosmemask - 1 Box Isi 20 Masker Kosme KM95 Breathable Mask Nano Silver,Yusuf,Bagus gadak yg cacat maskernya,5
430,Kosmemask - 1 Box Isi 20 Masker Kosme KM95 Breathable Mask Nano Silver,F***h,pengiriman lama sudah pilih same day datengnya 2 setelah pengiriman,3
431,Kosmemask - 1 Box Isi 20 Masker Kosme KM95 Breathable Mask Nano Silver,F***y,"Pengemasannya bagus, brg sampai dgn baik dan cepat 🫰🏻 Plg suka masker kosme km 95 ini, warna hitam lg 😁",5
432,Kosmemask - 1 Box Isi 20 Masker Kosme KM95 Breathable Mask Nano Silver,Yati,"Pesan tgl 21 Malam harusnya tiba tgl 22, baru terima hari ini karena dukirim ulang oleh team kurir",5
433,Kosmemask - 1 Box Isi 20 Masker Kosme KM95 Breathable Mask Nano Silver,Farid,terbaik,5
434,Kosmemask - 1 Box Isi 20 Masker Kosme KM95 Breathable Mask Nano Silver,L***a,"Works banget asli bagus,, jadi gausah beli2 konektor lagi kalo lagi mau pake kerudung , dan bagus nya kalo pake kacamata ga berembun karna nge press muka, good..",5
435,Kosmemask - 1 Box Isi 20 Masker Kosme KM95 Breathable Mask Nano Silver,Rizki,pesanan sesuai dan packaging ok,5
436,Kosmemask - 1 Box Isi 20 Masker Kosme KM95 Breathable Mask Nano Silver,F***e,sipppp👍🤩🤩🤩🤩🤩mantapppppp🥰🥰🥰🥰🥰🥰,5
437,[ CAREION ] MASKER 3PLY EARLOOP PREMIUM WARNA NUDE ISI 50 PCS 3 PLY - BASICMEDS PUTIH,Diyo,brg bagus sesuai pesanan...joss,5
438,[ CAREION ] MASKER 3PLY EARLOOP PREMIUM WARNA NUDE ISI 50 PCS 3 PLY - BASICMEDS PUTIH,Indra,"yaman, sip",5
439,[ CAREION ] MASKER 3PLY EARLOOP PREMIUM WARNA NUDE ISI 50 PCS 3 PLY - BASICMEDS PUTIH,Ferry,Produk nya OK. Proses dan pengiriman cepat,5
440,[ CAREION ] MASKER 3PLY EARLOOP PREMIUM WARNA NUDE ISI 50 PCS 3 PLY - BASICMEDS PUTIH,Ali,Barang sesuai harapan packing rapih dan aman proses cepat,5
441,[ CAREION ] MASKER 3PLY EARLOOP PREMIUM WARNA NUDE ISI 50 PCS 3 PLY - BASICMEDS PUTIH,Sabam,mantaaaappp respon penjualnya & produk baguuuuusss,5
442,[ CAREION ] MASKER 3PLY EARLOOP PREMIUM WARNA NUDE ISI 50 PCS 3 PLY - BASICMEDS PUTIH,Abetnico,"Order 3 Item, tpi dikirimkan hanya 2 Item",3
443,[ CAREION ] MASKER 3PLY EARLOOP PREMIUM WARNA NUDE ISI 50 PCS 3 PLY - BASICMEDS PUTIH,Dwi,Udah repeat order kesekian kalinya,5
444,[ CAREION ] MASKER 3PLY EARLOOP PREMIUM WARNA NUDE ISI 50 PCS 3 PLY - BASICMEDS PUTIH,pratiwi,warna sesuai baguss,5
445,[ CAREION ] MASKER 3PLY EARLOOP PREMIUM WARNA NUDE ISI 50 PCS 3 PLY - BASICMEDS PUTIH,V***a,"Pokoknya selalu langganan disini dr awal pandemi, mantap terimakasih",5
446,[ CAREION ] MASKER 3PLY EARLOOP PREMIUM WARNA NUDE ISI 50 PCS 3 PLY - BASICMEDS PUTIH,D***i,"Bagus, udah langganan warna ini mah",5
447,Masker Earloop Kn95 Kn 95 5 Ply 5Ply Cantol Hitam Black isi 10 pcs,Ahmad,"sipp cepat sampai,maskernya 4ply bukan 5ply,ya gpp lah masih bisa dipakai",5
448,Masker Earloop Kn95 Kn 95 5 Ply 5Ply Cantol Hitam Black isi 10 pcs,peewee,murah memadai,5
449,Masker Earloop Kn95 Kn 95 5 Ply 5Ply Cantol Hitam Black isi 10 pcs,d***y,pesanan ke 2 . belum di check in semua kualitasnya sama atau beda.. hehe fast respon yang penting mah..,5
450,Masker Earloop Kn95 Kn 95 5 Ply 5Ply Cantol Hitam Black isi 10 pcs,T***o,"Walau tanpa kardus, tetep ok...",5
451,Masker Earloop Kn95 Kn 95 5 Ply 5Ply Cantol Hitam Black isi 10 pcs,yudhi,Brg yg dikirim beda dengan gambar. Gbr kn956 yg dikirim duckbill. 👎 👎 Seller tolong di drop aja item ini dr mengecewakan pembeli,5
452,Masker Earloop Kn95 Kn 95 5 Ply 5Ply Cantol Hitam Black isi 10 pcs,Pangeran,"KN95nya setipis harganya, 😅",5
453,Masker Earloop Kn95 Kn 95 5 Ply 5Ply Cantol Hitam Black isi 10 pcs,Joseph,masker yang dikirim bukan masker kn95 dan maskernya pun tipis. kecewa sama barang yang dikirim padahal ini pembelian ke 2,3
454,Masker Earloop Kn95 Kn 95 5 Ply 5Ply Cantol Hitam Black isi 10 pcs,f***n,"barang yg dikirimkan tidak sesuai gambar iklan. walaupun kn95, tapi berbeda dari yg diharapkan (sesuai gambar iklan)",2
455,Masker Earloop Kn95 Kn 95 5 Ply 5Ply Cantol Hitam Black isi 10 pcs,A***s,pesanan tidak sesuai! not good seller,1
456,Masker Earloop Kn95 Kn 95 5 Ply 5Ply Cantol Hitam Black isi 10 pcs,Lucia,"Respon dan pengirimannya cepat, barang sesuai dengan deskripsi. Terima kasih.",5
457,"MASKER ICARE DUCKBILL EMBOSS EARLOOP 4PLY PREMIUM QUALITY 50PCS I CARE - PUTIH EMBOSS, IC DB SACHET 25",Finala,sesuai dengan pesanan,5
458,"MASKER ICARE DUCKBILL EMBOSS EARLOOP 4PLY PREMIUM QUALITY 50PCS I CARE - PUTIH EMBOSS, IC DB SACHET 26",Hendra,repeat order...,5
459,"MASKER ICARE DUCKBILL EMBOSS EARLOOP 4PLY PREMIUM QUALITY 50PCS I CARE - PUTIH EMBOSS, IC DB SACHET 27",susanti,berbulu,1
460,"MASKER ICARE DUCKBILL EMBOSS EARLOOP 4PLY PREMIUM QUALITY 50PCS I CARE - PUTIH EMBOSS, IC DB SACHET 28",ichwan,Respon penjual dan kurir cepat.,5
461,"MASKER ICARE DUCKBILL EMBOSS EARLOOP 4PLY PREMIUM QUALITY 50PCS I CARE - PUTIH EMBOSS, IC DB SACHET 29",S***e,"permintaan warna gold yg dtg knp warnanya ky silver ke coklatan gelap gt kl lht aslinya , gak sesuai dgn pic di etalase nya... kecewa 😔",3
462,"MASKER ICARE DUCKBILL EMBOSS EARLOOP 4PLY PREMIUM QUALITY 50PCS I CARE - PUTIH EMBOSS, IC DB SACHET 30",H***n,Toppp om,5
463,"MASKER ICARE DUCKBILL EMBOSS EARLOOP 4PLY PREMIUM QUALITY 50PCS I CARE - PUTIH EMBOSS, IC DB SACHET 31",S***i,"Pengiriman cepat, masker nyaman dipakai, nafas lebih lega dan warna2 bagus",5
464,"MASKER ICARE DUCKBILL EMBOSS EARLOOP 4PLY PREMIUM QUALITY 50PCS I CARE - PUTIH EMBOSS, IC DB SACHET 32",icha,kesekian kalinya beli harga murah barang berkualitas sesuai pesanan,5
465,"MASKER ICARE DUCKBILL EMBOSS EARLOOP 4PLY PREMIUM QUALITY 50PCS I CARE - PUTIH EMBOSS, IC DB SACHET 33",P***o,"sesuai deskripsi, kualitas barang OK, dapat bonus 4 bh masker KN 95, terima kasih",5
466,"MASKER ICARE DUCKBILL EMBOSS EARLOOP 4PLY PREMIUM QUALITY 50PCS I CARE - PUTIH EMBOSS, IC DB SACHET 34",Agus,"barang ok, mantap",5
467,"MASKER ICARE DUCKBILL EMBOSS EARLOOP 4PLY PREMIUM QUALITY 50PCS I CARE - PUTIH EMBOSS, IC DB SACHET 35",Jessica,pesanan sesuai yg di request pengiriman cepat recommended seller,5
468,"MASKER ICARE DUCKBILL EMBOSS EARLOOP 4PLY PREMIUM QUALITY 50PCS I CARE - PUTIH EMBOSS, IC DB SACHET 36",Citra,"barang bagus , sesuai deskripsi no cacat packing rapi",5
469,"MASKER ICARE DUCKBILL EMBOSS EARLOOP 4PLY PREMIUM QUALITY 50PCS I CARE - PUTIH EMBOSS, IC DB SACHET 37",wasilatul,"puas banget ,terima kasih selalu dapat bonus masker",5
470,FILTCARE Masker KF94 Korea 4 ply Premium isi 10 pcs High Quality - FC KF 10 WHITE,D***t,"Pertama x order 2 packs n alhamdulillah maskernya bgs bener. Bhn n size nyaman di wjh. Warna cantik. Sy sk dg model ini krn enak dipakai buat yg berkacamata. Posisi kacamata bs pas. Krn suka n cocok, next sy akan order lg ya ",5
471,FILTCARE Masker KF94 Korea 4 ply Premium isi 10 pcs High Quality - FC KF 10 WHITE,Eddy,"Sdh diterima seller responsif, pengiriman cepat, terima kasih",5
472,FILTCARE Masker KF94 Korea 4 ply Premium isi 10 pcs High Quality - FC KF 10 WHITE,Putu,respon penjual cepat barang sesuai deakripsi dan diterima lebih cepat,5
473,FILTCARE Masker KF94 Korea 4 ply Premium isi 10 pcs High Quality - FC KF 10 WHITE,Miss,Barang okkkkk,5
474,FILTCARE Masker KF94 Korea 4 ply Premium isi 10 pcs High Quality - FC KF 10 WHITE,Djatty,masker nya sesuai pesanan..harga terjangkau...recomended,5
475,FILTCARE Masker KF94 Korea 4 ply Premium isi 10 pcs High Quality - FC KF 10 WHITE,R***s,ada beda merk 1.,4
476,FILTCARE Masker KF94 Korea 4 ply Premium isi 10 pcs High Quality - FC KF 10 WHITE,I***u,barang nya bagus 👍,5
477,FILTCARE Masker KF94 Korea 4 ply Premium isi 10 pcs High Quality - FC KF 10 WHITE,erini,sesuai pesanan & pengiriman cepat,5
478,FILTCARE Masker KF94 Korea 4 ply Premium isi 10 pcs High Quality - FC KF 10 WHITE,M***d,"masker pada lecek , packingnya tanpa kardus , langsung di lilit plastik",1
479,FILTCARE Masker KF94 Korea 4 ply Premium isi 10 pcs High Quality - FC KF 10 WHITE,ngawur,padahal untuk di jual kembali sungguh teganya dirimu,1
480,FILTCARE Masker KF94 Korea 4 ply Premium isi 10 pcs High Quality - FC KF 10 WHITE,h***s,pesan matcha di kirim putih,2
481,FILTCARE Masker KF94 Korea 4 ply Premium isi 10 pcs High Quality - FC KF 10 WHITE,A***n,"Diprosesnya lama.. Tali maskernya tdk sesuai yg di iklan. Tali masker yg ini sepengalaman saya cpet lepas, beda dengan tali masker yg di iklan itu lebih kuat. Agak sedikit kecewa.",2
482,"Masker ALKINDO DUCKBILL 3Ply (PUTIH) 50pcs/box, seperti sensi ducbill - 4 PLY PTH EMBOS",Fountain,good,5
483,"Masker ALKINDO DUCKBILL 3Ply (PUTIH) 50pcs/box, seperti sensi ducbill - 4 PLY PTH EMBOS",Y***a,sesuai pesanan..produk baguss dan pengiriman jg cepat. thank you👍,5
484,"Masker ALKINDO DUCKBILL 3Ply (PUTIH) 50pcs/box, seperti sensi ducbill - 4 PLY PTH EMBOS",k***i,"sesuai pesanan, mantap, recommended seller",5
485,"Masker ALKINDO DUCKBILL 3Ply (PUTIH) 50pcs/box, seperti sensi ducbill - 4 PLY PTH EMBOS",shavyfallen,"barang sesuai pesanan,, pengiriman juga sangat cepat",5
486,"Masker ALKINDO DUCKBILL 3Ply (PUTIH) 50pcs/box, seperti sensi ducbill - 4 PLY PTH EMBOS",Rifai,"Packing barang rapih, pengiriman cepat sampai, barang bagus dan jumlah barang pas sesui pesanan tidak ada yang kurang, terimakasih.",5
487,"Masker ALKINDO DUCKBILL 3Ply (PUTIH) 50pcs/box, seperti sensi ducbill - 4 PLY PTH EMBOS",Budiman,"barang sesuai deskripsi, sudah sering order disini...pengiriman juga cepat sampai...",5
488,"Masker ALKINDO DUCKBILL 3Ply (PUTIH) 50pcs/box, seperti sensi ducbill - 4 PLY PTH EMBOS",E***a,sesuai pesanan. masker nyaman digunakan. thank you.,5
489,"Masker ALKINDO DUCKBILL 3Ply (PUTIH) 50pcs/box, seperti sensi ducbill - 4 PLY PTH EMBOS",irdarmansyah,barang nya yang dateng cuma 49 kurang 1 pcs.,2
490,"Masker ALKINDO DUCKBILL 3Ply (PUTIH) 50pcs/box, seperti sensi ducbill - 4 PLY PTH EMBOS",h***y,"Plastik bungkus kebuka, barang jatuh ke lantai. Sial sekali. Tks",5
491,"Masker ALKINDO DUCKBILL 3Ply (PUTIH) 50pcs/box, seperti sensi ducbill - 4 PLY PTH EMBOS",r***s,"Ga pakai dus..., dibungkus plastik aja dan terbuka. Steril ga ya...???",4
492,"Masker ALKINDO DUCKBILL 3Ply (PUTIH) 50pcs/box, seperti sensi ducbill - 4 PLY PTH EMBOS",buddhy,"barang sesuai apa yang digambarkan, ..respon sangat cepat, paking produk proper.....mantabs",5
493,[ DOC ] MASKER KF94 FFP2 4PLY ISI 25 SEGEL PER PCS EARLOOP CE0598 - HIJAUARMY 30PCS,Y***i,Top selalu beli disini 👍,5
494,[ DOC ] MASKER KF94 FFP2 4PLY ISI 25 SEGEL PER PCS EARLOOP CE0598 - HIJAUARMY 30PCS,Frans,sesuai pesanan. pelayanan cepat & kualitas bagus,5
495,[ DOC ] MASKER KF94 FFP2 4PLY ISI 25 SEGEL PER PCS EARLOOP CE0598 - HIJAUARMY 30PCS,Z***l,"mendarat dengan sempurna, terimakasih seller, dapat bonus tali masker lucuk, hihi. semoga laris seller aaamiiin",5
496,[ DOC ] MASKER KF94 FFP2 4PLY ISI 25 SEGEL PER PCS EARLOOP CE0598 - HIJAUARMY 30PCS,olivia,suka banget sm maskernya.. ga bikin sakit telinga n ga pengap juga. ud berkali2 repeat order ga pernah kecewa. thx u ya,4
497,[ DOC ] MASKER KF94 FFP2 4PLY ISI 25 SEGEL PER PCS EARLOOP CE0598 - HIJAUARMY 30PCS,Tuti,tdk sesuai harapan,1
498,[ DOC ] MASKER KF94 FFP2 4PLY ISI 25 SEGEL PER PCS EARLOOP CE0598 - HIJAUARMY 30PCS,eugenius,"Penjual mengirimkan masker palsu, berbeda dari yg di iklankan oleh penjual",1
499,[ DOC ] MASKER KF94 FFP2 4PLY ISI 25 SEGEL PER PCS EARLOOP CE0598 - HIJAUARMY 30PCS,Daud,gk sesuai dgn permintaan... saya jelas2 sudah tulis di catatan order & di diskusi sblm order tapi dikirim gk sesuai permintaan thx,2
500,[ DOC ] MASKER KF94 FFP2 4PLY ISI 25 SEGEL PER PCS EARLOOP CE0598 - HIJAUARMY 30PCS,o***a,beneran di packing satuan loh .. jd nya aman dibawa kemana2,5
501,[ DOC ] MASKER KF94 FFP2 4PLY ISI 25 SEGEL PER PCS EARLOOP CE0598 - HIJAUARMY 30PCS,Epe,Barang cepat diproses dan sesuai pesanan..,5
502,[ DOC ] MASKER KF94 FFP2 4PLY ISI 25 SEGEL PER PCS EARLOOP CE0598 - HIJAUARMY 30PCS,Anneke,"proses cepet banget, barang bagus. makasih bonus tali maskernya",5
503,[ DOC ] MASKER KF94 FFP2 4PLY ISI 25 SEGEL PER PCS EARLOOP CE0598 - HIJAUARMY 30PCS,david,semua sesuai pesanan. yg doc bungkus satuan n ada sambungan. diksh bonus 1 tali jg. pasti langganan lagi. mantep n thx,5
